title,summary,url,publish_date,domain,sentiment,polarity
Wipro to realign its four global business lines starting April 1; here are the Big changes,"Wipro will continue to operate with four GBLs, organised around client buying behavior:• Wipro Technology Services:• Wipro Consulting Services:• Wipro Engineering Edge:•Wipro Business Process Services:Wipro, India’s fourth largest IT company, has announced restructuring of its four Global Business Lines (GBLs) to better address client needs.
Wipro announced the same in a BSE filing last week.
The GBLs come under four heads -- Technology Services, Business Process Services, Consulting Services and Engineering.
To better meet these needs, Wipro will realign its Global Business Lines,” Wipro informed in a regulatory filing.
This GBL will focus on digital operations and business process transformation.There is no change to Capco.",https://timesofindia.indiatimes.com/technology/tech-news/wipro-to-realign-its-four-global-business-lines-starting-april-1-here-are-the-big-changes/articleshow/119073000.cms,,Unknown,Positive,0.12
Apple looks to deepen India presence; in talks with Wipro Enterprises and Lakshmi Machine Works to expand suppliers list,"Apple's engagement with Indian manufacturers demonstrates the technology company's commitment to strengthening its presence in India.
""Apple is in advanced talks with Wipro Enterprises and is in preliminary talks with Lakshmi Machine Works as part of their move to de-risk their supply chain,"" a source informed ET.
""They are in talks with these companies to supply parts and components for their supply chain.
In January, it was reported that Apple was negotiating with Pune-based Bharat Forge, a Kalyani Group company, for potential inclusion in its supply chain.
Should the negotiations succeed, Bharat Forge would supply various components, including mechanical parts, to the American technology company.",https://timesofindia.indiatimes.com/business/india-business/apple-looks-to-deepen-india-presence-in-talks-with-wipro-enterprises-and-lakshmi-machine-works-to-expand-suppliers-list/articleshow/119196635.cms,,Unknown,Positive,0.1
Wipro realigns its global business lines,"BENGALURU: Wipro has realigned its global business lines (GBLs) to expand its go-to-market capabilities to meet clients' business needs in emerging technologies driven by AI, cloud, and digital transformation .Wipro organised its capabilities across four GBLs-delivery, capabilities, solutions, and horizontal specialists are owned by GBLs.
The four GBLs are technology services , business process services , engineering, and consulting services .
To better meet these needs, Wipro has realigned its GBLs.Jo Debecker, who led Wipro FullStride Cloud, has quit the firm to pursue opportunities outside the company.
As the managing partner and global head of technology services, Nagendra Bandaru will drive this GBL, focusing on delivering cloud-enabled and industry-specific technology solutions.
Jasjit Singh Kang, SVP, and business head for digital operations & platforms in Wipro, will focus on digital operations and business process transformation.",https://timesofindia.indiatimes.com/business/india-business/wipro-realigns-its-global-business-lines/articleshow/119025363.cms,,Unknown,Positive,0.04
"IT minister to TCS, Infosys, Wipro: Yes, you have been doing very well, time has come when we must ...","Outlined government’s technology roadmapUnion IT Minister Ashwini Vaishnaw has urged leading Indian tech firms like TCS, Infosys, and Wipro to develop a mobile operating system specifically designed for India.
""During his address, Vaishnaw emphasized the government’s vision to position India as a global technology leader.
""Prime Minister Narendra Modi has inspired us with the confidence, vision, and resources to think big,"" he said.
""The minister also highlighted the government’s efforts to democratize artificial intelligence (AI) and lead in this domain.
""In response to a question from ANI, Vaishnaw detailed the government's technology roadmap for its 2047 goals.",https://timesofindia.indiatimes.com/technology/tech-news/it-minister-to-tcs-infosys-wipro-yes-you-have-been-doing-very-well-time-has-come-when-we-must-/articleshow/118809951.cms,,Unknown,Negative,-0.05
Citi Technology Strategy: Citi's strategic shift: More insourcing may impact Indian IT cos,"The bank plans to decrease the proportion of contractors working in IT from the current 50% to 20%.The latest move underscores Citi's strategy to build capabilities inhouse, reflecting a strategic shift towards its inhouse operational model.
This development has raised concerns for both Indian IT firms and MNC IT companies that have substantial business relationships with Citi.
TCS has an exposure of approximately $700 million, while LTIMindtree and Wipro generate over $150 million and $100 million worth of business from Citi.
""Citi is growing internal technology capabilities to support its strategy to improve safety and soundness, enable revenue growth, and drive efficiencies.
We continuously evaluate and evolve our workforce strategy to ensure we meet the ongoing needs of Citi's businesses and functions and the markets we serve.",https://timesofindia.indiatimes.com/business/india-business/citis-strategic-shift-more-insourcing-may-impact-indian-it-cos/articleshow/119291521.cms,,Unknown,Positive,0.08
"IT minister Ashwini Vaishnaw has a mobile OS challenge for TCS, Infosys and Wipro","Our Prime Minister Narendra Modi has given us that vision, has given us that inspiration, and has given us that confidence and resources to really think big.
That's the inspiration we keep on getting from him,”IT minister Ashwini Vaishnaw also wants companies to focus on AI“We rolled out the first common compute facility for 14,000 GPUs.
That is the vision with which we are moving and hopefully another 12 months from now we should have our own foundational models also,”Union Information and Technology Minister, Ashwini Vaishnaw has issued a challenge for the country’s major technology companies.
During the 32nd ICT Business Awards & DQ Digital Leadership Conclave organized by Dataquest India, Vaishnaw asked companies like TCS Infosys , and Wipro to transition from service providers to product innovators and develop a mobile operating system .
He emphasized the need for India to become a "" product nation "" and assured government support for companies undertaking this endeavor.",https://timesofindia.indiatimes.com/technology/tech-news/it-minister-ashwini-vaishnaw-has-a-mobile-os-challenge-for-tcs-infosys-and-wipro/articleshow/118800010.cms,,Unknown,Positive,0.13
"Stock market today: BSE Sensex ends 341 points up; Nifty50 above 22,500","Global market uncertainties and potential US recession concerns could affect domestic market momentum.
Stock market today : BSE Sensex and Nifty50 , the Indian equity benchmark indices, ended the trading session in green on Monday, driven by strong performance in banking and automobile sectors, with ICICI Bank and Axis Bank leading.
V K Vijayakumar, Chief Investment Strategist at Geojit Financial Services says, “The near-term market trend is likely to be stable with a positive bias.
This positive macro backdrop can support the market in the short-term but cannot sustain a rally in the market.
The trade war fears are looming large on global trade and global growth.",https://timesofindia.indiatimes.com/business/india-business/stock-market-today-bse-sensex-nifty50-march-17-2025-dalal-street-indian-equities-global-markets/articleshow/119096664.cms,,Unknown,Positive,0.08
"Stock market today: BSE Sensex ends almost 900 points up; Nifty50 above 23,150","Indian benchmark indices, Nifty50 and Sensex, continued their upward trajectory for the fourth consecutive session, supported by positive performance in banking and IT sectors.
(AI image)Why BSE Sensex, Nifty50 rose today:1) Fed maintains rate cut outlook for 20252) IT Sector Leads Market Surge3)Global MarketsBoost Indian Shares4) US Treasury and Currency ImpactStock market today : BSE Sensex and Nifty50, the Indian equity benchmark indices, rallied strongly in trade on Thursday.
While BSE Sensex rose around 1,000 points intraday, Nifty50 crossed the 23,200 mark.
BSE Sensex ended the day at 76,348.06, up 899 points or 1.19%.
The positive market sentiment emerged from US Federal Reserve Chair Jerome Powell's reassuring stance on inflation, despite potential tariff risks.",https://timesofindia.indiatimes.com/business/india-business/stock-market-today-bse-sensex-nifty50-march-20-2025-dalal-street-indian-equities-global-markets/articleshow/119236390.cms,,Unknown,Positive,0.3
"Irish education minister invites Indians for education, research, and employment opportunities","NEW DELHI: James Lawless, Ireland's Education Minister, on Monday said his country is ""very welcoming"" for students and has a supportive post-study employment visa arrangement.
So if they do a postgraduate course, they have a 2-year window to seek employment, and they can stay on for that time, and then if they get employment, they'll have an employment visa.
So really it's actually quite rare that Indian students or Indian workers have any visa issues because if they're coming to a job.
So it's worked very well to date, and we're happy with the programme,"" the Irish minister told ANI.
As global businesses look for highly skilled talent and research-driven ecosystems, Ireland continues to offer Indian companies cutting-edge opportunities for expansion and innovation.",https://timesofindia.indiatimes.com/education/news/irish-education-minister-invites-indians-for-education-research-and-employment-opportunities/articleshow/119141981.cms,,Unknown,Positive,0.26
Wipro to invest $200mn in venture arm to back startups,"BENGALURU: Wipro is investing $200 million in its venture arm, Wipro Ventures, in its latest round of funding.
Wipro Ventures secured its fourth funding round after a decade of operations.
The investment arm seeks to enhance its portfolio by investing in early to mid-stage startups .
""Wipro Ventures is strategically positioned to participate in and contribute to technological innovation across startup hubs globally,"" said Wipro CEO and MD Srini Pallia.
Wipro Ventures focuses its investments on high-growth sectors, including financial services, healthcare, energy and utilities, alongside the manufacturing sector.",https://timesofindia.indiatimes.com/business/india-business/wipro-to-invest-200mn-in-venture-arm-to-back-startups/articleshow/118588399.cms,,Unknown,Positive,0.03
